CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
53003960600,Washington,Asotin County,1,3413,1411,0,15,0.44,0,0,0,0,0,0,12.2,68365,0,1,0,1,0,0,0,0,389,2518,389,195,852,195,2518,73.79,852,24.96,532,15.58,514,15.05,2436,71.38,2,0.06,5,0.15,3,0.09,24,0.71,48,1.4,50,1.47,21,1.5,153,10.87,389,11.4,195,5.71,81,2.38,79,2.32,380,11.15,0,0,0,0.01,0,0.01,4,0.13,3,0.09,11,0.33,6,0.45,22,1.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1394,750,646,3280,2,12,6,36,77,83,32,223
53005010100,Washington,Benton County,1,4448,1811,0,28,0.63,0,0,0,0,0,0,2.8,128517,1,1,1,1,1,0,0,0,1806,3018,1806,74,242,74,3018,67.85,242,5.45,582,13.08,645,14.5,2637,59.29,36,0.81,242,5.44,0,0,13,0.28,90,2.03,66,1.47,12,0.68,49,2.72,1806,40.61,74,1.67,350,7.86,395,8.87,1542,34.66,29,0.65,178,4,0,0,1,0.03,57,1.28,44,0.98,0,0.01,30,1.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,469,878,891,3940,60,292,0,14,142,133,28,75
53005010201,Washington,Benton County,1,4295,1741,0,19,0.44,0,0,0,0,0,0,7.5,114000,1,1,1,1,1,0,0,0,2303,4295,2303,287,667,287,4295,100,667,15.52,999,23.26,693,16.14,3674,85.54,69,1.61,345,8.03,4,0.09,46,1.07,157,3.66,203,4.73,24,1.39,135,7.74,2303,53.63,287,6.68,516,12.02,371,8.64,1930,44.93,37,0.85,237,5.52,1,0.02,28,0.65,71,1.66,97,2.25,12,0.72,70,4.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,735,999,693,3674,69,345,4,46,157,203,26,153
53005010202,Washington,Benton County,1,6060,2842,0,67,1.11,1,1,1,1,1,1,17.5,61982,1,1,1,1,1,0,0,1,1590,4014,1590,226,1171,226,4014,66.24,1171,19.32,843,13.92,509,8.4,3445,56.84,61,1,232,3.83,1,0.02,37,0.6,239,3.95,322,5.32,139,4.9,395,13.9,1590,26.24,226,3.73,327,5.39,247,4.08,1324,21.86,27,0.44,102,1.68,0,0,14,0.24,123,2.03,163,2.69,20,0.71,162,5.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2155,1370,895,5118,116,337,3,54,432,633,310,598
53005010300,Washington,Benton County,1,5010,2126,0,5,0.1,0,0,0,0,0,0,9,71234,1,1,1,1,1,0,0,0,2537,4168,2537,604,991,604,4168,83.2,991,19.78,995,19.87,635,12.68,3699,73.82,50,0.99,126,2.51,10,0.2,35,0.7,249,4.98,331,6.61,52,2.43,122,5.75,2537,50.65,604,12.05,605,12.07,446,8.89,2293,45.77,20,0.41,65,1.29,3,0.07,19,0.39,137,2.73,182,3.64,30,1.43,73,3.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1362,1203,776,4409,73,143,14,53,318,402,59,165
53005010400,Washington,Benton County,1,3617,1464,0,0,0,1,1,1,1,1,1,14.9,50667,1,1,1,1,1,0,0,1,2116,3617,2116,968,1631,968,3617,99.99,1631,45.1,978,27.04,381,10.53,3135,86.67,53,1.47,56,1.55,5,0.14,52,1.44,316,8.74,375,10.37,121,8.27,247,16.85,2116,58.5,968,26.77,561,15.5,240,6.63,1837,50.77,36,0.98,35,0.96,5,0.14,26,0.71,178,4.93,245,6.78,85,5.78,145,9.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1544,978,381,3135,53,56,5,52,316,375,120,240
53005010500,Washington,Benton County,1,3022,1048,0,90,2.98,1,1,1,0,0,1,23.6,61310,1,1,1,1,1,0,0,0,1088,2842,1088,344,1154,344,2842,94.05,1154,38.19,863,28.55,259,8.56,2535,83.88,28,0.92,57,1.87,5,0.17,34,1.14,183,6.07,298,9.86,13,1.28,203,19.33,1088,35.99,344,11.38,364,12.04,74,2.46,967,32.01,5,0.18,13,0.43,4,0.13,11,0.38,87,2.87,110,3.64,6,0.54,72,6.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1379,891,346,2692,28,67,5,36,194,311,13,202
53005010600,Washington,Benton County,1,4296,1758,0,76,1.77,0,1,0,0,0,1,11.9,57731,0,1,0,1,0,0,0,0,7,504,7,1,110,1,504,11.72,110,2.56,95,2.22,87,2.04,449,10.44,4,0.1,11,0.25,0,0,7,0.15,33,0.78,35,0.81,2,0.11,41,2.31,7,0.17,1,0.02,0,0.01,2,0.06,7,0.16,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1793,1128,519,3707,75,99,7,44,364,476,26,325
53005010701,Washington,Benton County,0,2138,778,0,0,0,0,0,0,0,0,0,4.5,73462,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2138,100,367,17.19,536,25.07,205,9.59,1932,90.36,21,0.98,42,1.96,3,0.14,20,0.94,120,5.61,191,8.93,4,0.57,83,10.63,2100,98.22,363,16.98,524,24.51,200,9.35,1902,88.96,21,0.97,41,1.94,3,0.14,19,0.91,113,5.3,184,8.63,4,0.57,81,10.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,379,536,205,1932,21,42,3,20,120,191,5,93
53005010703,Washington,Benton County,0,2803,1112,0,0,0,0,0,0,0,0,0,18.7,70565,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2803,100,1057,37.71,651,23.23,367,13.09,2495,89.01,20,0.71,34,1.21,10,0.36,49,1.75,195,6.96,221,7.88,24,2.17,194,17.47,2207,78.75,808,28.81,519,18.52,302,10.77,1976,70.49,17,0.61,24,0.87,9,0.31,41,1.45,141,5.03,171,6.1,24,2.17,150,13.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1141,651,367,2495,20,34,10,49,195,221,27,196
53005010705,Washington,Benton County,1,5268,1780,0,0,0,0,0,0,0,0,0,3.9,117550,1,1,1,1,1,0,0,0,2053,4485,2053,208,412,208,4485,85.15,412,7.82,1379,26.18,317,6.02,4157,78.92,37,0.7,69,1.31,8,0.16,45,0.85,169,3.21,247,4.68,12,0.69,64,3.61,2053,38.97,208,3.95,638,12.1,133,2.53,1895,35.96,19,0.37,29,0.56,5,0.09,22,0.42,82,1.56,119,2.26,5,0.27,29,1.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,481,1615,366,4860,47,87,12,53,209,310,14,73
53005010707,Washington,Benton County,1,2491,826,0,0,0,0,0,0,0,0,0,6.5,107250,1,1,1,1,1,0,0,0,1559,2491,1559,126,243,126,2491,100,243,9.77,808,32.44,160,6.42,2227,89.4,17,0.68,64,2.57,1,0.04,26,1.04,156,6.26,172,6.9,0,0,44,5.38,1559,62.59,126,5.05,532,21.37,83,3.35,1393,55.93,6,0.23,36,1.46,0,0,18,0.72,106,4.25,108,4.35,0,0,27,3.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,808,160,2227,17,64,1,26,156,172,0,56
53005010708,Washington,Benton County,1,2440,908,0,0,0,0,0,0,0,0,0,11,107303,1,1,1,1,1,0,0,0,502,1690,502,111,309,111,1690,69.27,309,12.67,473,19.4,181,7.43,1503,61.6,17,0.69,42,1.71,0,0,12,0.47,117,4.79,143,5.87,11,1.16,91,10.02,502,20.58,111,4.55,128,5.26,72,2.95,433,17.75,2,0.09,27,1.09,0,0,3,0.11,37,1.53,45,1.84,0,0,28,3.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,733,652,283,2198,17,56,0,18,151,194,29,174
53005010803,Washington,Benton County,1,6690,2524,0,0,0,0,0,0,0,0,0,1.6,119116,0,1,0,1,0,0,0,0,329,3731,329,14,555,14,3731,55.76,555,8.29,981,14.66,475,7.09,3368,50.35,28,0.42,155,2.32,0,0.01,29,0.43,149,2.23,240,3.59,74,2.92,36,1.42,329,4.92,14,0.2,96,1.43,34,0.51,292,4.37,2,0.03,12,0.19,0,0,6,0.09,17,0.25,30,0.45,4,0.17,3,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1739,1774,926,5979,71,308,1,41,290,456,189,88
53005010805,Washington,Benton County,1,5917,2432,0,0,0,0,0,0,0,0,0,5.1,116776,0,1,0,1,0,0,0,0,98,3421,98,29,542,29,3421,57.82,542,9.15,814,13.76,437,7.38,2902,49.05,35,0.6,251,4.23,4,0.07,18,0.3,211,3.57,247,4.17,81,3.33,94,3.88,98,1.65,29,0.49,18,0.31,13,0.22,78,1.31,3,0.05,4,0.08,0,0,1,0.01,12,0.2,15,0.26,3,0.11,3,0.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1239,1351,775,5012,83,405,8,38,371,446,152,203
53005010807,Washington,Benton County,0,1082,360,0,0,0,0,0,0,0,0,0,8.4,84375,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,1082,100,276,25.54,314,29.02,93,8.6,975,90.11,4,0.37,17,1.57,0,0,10,0.92,76,7.02,87,8.04,5,1.27,43,11.86,1082,100,276,25.54,314,29.02,93,8.6,975,90.11,4,0.37,17,1.57,0,0,10,0.92,76,7.02,87,8.04,5,1.27,43,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,334,314,93,975,4,17,0,10,76,87,6,56
